state,Year,Month,deaths_covid,deaths_covid_coverage
AK,2020,3,0.0,15
AK,2020,4,4.0,709
AK,2020,5,15.0,641
AK,2020,6,5.0,570
AK,2020,7,12.0,686
AK,2020,8,10.0,774
AK,2020,9,11.0,722
AK,2020,10,27.0,706
AK,2020,11,52.0,697
AK,2020,12,64.0,727
AK,2021,1,21.0,728
AK,2021,2,11.0,654
AK,2021,3,11.0,724
AK,2021,4,25.0,704
AK,2021,5,17.0,726
AK,2021,6,4.0,697
AK,2021,7,18.0,724
AK,2021,8,70.0,724
AK,2021,9,143.0,704
AK,2021,10,164.0,728
AK,2021,11,89.0,700
AK,2021,12,41.0,728
AK,2022,1,24.0,425
AK,2022,2,33.0,257
AK,2022,3,26.0,264
AK,2022,4,15.0,273
AK,2022,5,17.0,302
AK,2022,6,15.0,307
AK,2022,7,13.0,314
AK,2022,8,34.0,309
AK,2022,9,12.0,312
AK,2022,10,24.0,316
AK,2022,11,12.0,303
AK,2022,12,9.0,317
AK,2023,1,9.0,307
AK,2023,2,11.0,276
AK,2023,3,7.0,300
AK,2023,4,12.0,280
AK,2023,5,9.0,307
AK,2023,6,8.0,300
AK,2023,7,5.0,310
AK,2023,8,3.0,309
AK,2023,9,11.0,297
AK,2023,10,5.0,278
AL,2020,1,0.0,0
AL,2020,2,0.0,0
AL,2020,3,4.0,129
AL,2020,4,203.0,1531
AL,2020,5,149.0,1503
AL,2020,6,260.0,2574
AL,2020,7,506.0,2959
AL,2020,8,609.0,3157
AL,2020,9,357.0,3250
AL,2020,10,371.0,3443
AL,2020,11,464.0,3280
AL,2020,12,1032.0,3425
AL,2021,1,1574.0,3429
AL,2021,2,650.0,3107
AL,2021,3,222.0,3409
AL,2021,4,123.0,3314
AL,2021,5,103.0,3406
AL,2021,6,75.0,3305
AL,2021,7,145.0,3438
AL,2021,8,1093.0,3482
AL,2021,9,1407.0,3371
AL,2021,10,612.0,3483
AL,2021,11,183.0,3366
AL,2021,12,203.0,3487
AL,2022,1,673.0,3480
AL,2022,2,772.0,3150
AL,2022,3,194.0,3477
AL,2022,4,21.0,3373
AL,2022,5,20.0,3463
AL,2022,6,46.0,3375
AL,2022,7,104.0,3478
AL,2022,8,121.0,3440
AL,2022,9,77.0,3059
AL,2022,10,43.0,3101
AL,2022,11,28.0,2948
