state,Year,Month,coverage,Variable,value
AK,2020,3,hospital,inpatient_beds,15.0
AK,2020,3,hospital,inpatient_beds_used,15.0
AK,2020,3,hospital,inpatient_beds_used_covid,15.0
AK,2020,3,patients,inpatient_beds,950.0
AK,2020,3,patients,inpatient_beds_used,369.0
AK,2020,3,patients,inpatient_beds_used_covid,46.0
AK,2020,4,hospital,inpatient_beds,709.0
AK,2020,4,hospital,inpatient_beds_used,755.0
AK,2020,4,hospital,inpatient_beds_used_covid,212.0
AK,2020,4,patients,inpatient_beds,44593.0
AK,2020,4,patients,inpatient_beds_used,18854.0
AK,2020,4,patients,inpatient_beds_used_covid,500.0
AK,2020,5,hospital,inpatient_beds,755.0
AK,2020,5,hospital,inpatient_beds_used,791.0
AK,2020,5,hospital,inpatient_beds_used_covid,389.0
AK,2020,5,patients,inpatient_beds,49263.0
AK,2020,5,patients,inpatient_beds_used,24894.0
AK,2020,5,patients,inpatient_beds_used_covid,456.0
AK,2020,6,hospital,inpatient_beds,772.0
AK,2020,6,hospital,inpatient_beds_used,772.0
AK,2020,6,hospital,inpatient_beds_used_covid,417.0
AK,2020,6,patients,inpatient_beds,52249.0
AK,2020,6,patients,inpatient_beds_used,27376.0
AK,2020,6,patients,inpatient_beds_used_covid,736.0
AK,2020,7,hospital,inpatient_beds,758.0
AK,2020,7,hospital,inpatient_beds_used,786.0
AK,2020,7,hospital,inpatient_beds_used_covid,511.0
AK,2020,7,patients,inpatient_beds,50671.0
AK,2020,7,patients,inpatient_beds_used,27925.0
AK,2020,7,patients,inpatient_beds_used_covid,986.0
AK,2020,8,hospital,inpatient_beds,637.0
AK,2020,8,hospital,inpatient_beds_used,774.0
AK,2020,8,hospital,inpatient_beds_used_covid,774.0
AK,2020,8,patients,inpatient_beds,42183.0
AK,2020,8,patients,inpatient_beds_used,29035.0
AK,2020,8,patients,inpatient_beds_used_covid,1432.0
AK,2020,9,hospital,inpatient_beds,597.0
AK,2020,9,hospital,inpatient_beds_used,723.0
AK,2020,9,hospital,inpatient_beds_used_covid,723.0
AK,2020,9,patients,inpatient_beds,38788.0
AK,2020,9,patients,inpatient_beds_used,28842.0
