state,Year,Month,group,covid,coverage,value
AK,2020,3,Adult,Confirmed,hospital,0
AK,2020,3,Adult,Confirmed,patients,0
AK,2020,3,Adult,Suspected,hospital,0
AK,2020,3,Adult,Suspected,patients,0
AK,2020,3,Pediatric,Confirmed,hospital,0
AK,2020,3,Pediatric,Confirmed,patients,0
AK,2020,3,Pediatric,Suspected,hospital,0
AK,2020,3,Pediatric,Suspected,patients,0
AK,2020,4,Adult,Confirmed,hospital,0
AK,2020,4,Adult,Confirmed,patients,0
AK,2020,4,Adult,Suspected,hospital,0
AK,2020,4,Adult,Suspected,patients,0
AK,2020,4,Pediatric,Confirmed,hospital,0
AK,2020,4,Pediatric,Confirmed,patients,0
AK,2020,4,Pediatric,Suspected,hospital,0
AK,2020,4,Pediatric,Suspected,patients,0
AK,2020,5,Adult,Confirmed,hospital,0
AK,2020,5,Adult,Confirmed,patients,0
AK,2020,5,Adult,Suspected,hospital,0
AK,2020,5,Adult,Suspected,patients,0
AK,2020,5,Pediatric,Confirmed,hospital,0
AK,2020,5,Pediatric,Confirmed,patients,0
AK,2020,5,Pediatric,Suspected,hospital,0
AK,2020,5,Pediatric,Suspected,patients,0
AK,2020,6,Adult,Confirmed,hospital,0
AK,2020,6,Adult,Confirmed,patients,0
AK,2020,6,Adult,Suspected,hospital,0
AK,2020,6,Adult,Suspected,patients,0
AK,2020,6,Pediatric,Confirmed,hospital,0
AK,2020,6,Pediatric,Confirmed,patients,0
AK,2020,6,Pediatric,Suspected,hospital,0
AK,2020,6,Pediatric,Suspected,patients,0
AK,2020,7,Adult,Confirmed,hospital,261
AK,2020,7,Adult,Confirmed,patients,53
AK,2020,7,Adult,Suspected,hospital,264
AK,2020,7,Adult,Suspected,patients,201
AK,2020,7,Pediatric,Confirmed,hospital,255
AK,2020,7,Pediatric,Confirmed,patients,2
AK,2020,7,Pediatric,Suspected,hospital,259
AK,2020,7,Pediatric,Suspected,patients,2
AK,2020,8,Adult,Confirmed,hospital,736
AK,2020,8,Adult,Confirmed,patients,125
AK,2020,8,Adult,Suspected,hospital,748
AK,2020,8,Adult,Suspected,patients,252
AK,2020,8,Pediatric,Confirmed,hospital,683
AK,2020,8,Pediatric,Confirmed,patients,4
AK,2020,8,Pediatric,Suspected,hospital,716
AK,2020,8,Pediatric,Suspected,patients,5
AK,2020,9,Adult,Confirmed,hospital,723
AK,2020,9,Adult,Confirmed,patients,146
AK,2020,9,Adult,Suspected,hospital,723
AK,2020,9,Adult,Suspected,patients,215
AK,2020,9,Pediatric,Confirmed,hospital,643
AK,2020,9,Pediatric,Confirmed,patients,2
AK,2020,9,Pediatric,Suspected,hospital,643
AK,2020,9,Pediatric,Suspected,patients,4
AK,2020,10,Adult,Confirmed,hospital,707
AK,2020,10,Adult,Confirmed,patients,236
AK,2020,10,Adult,Suspected,hospital,707
AK,2020,10,Adult,Suspected,patients,241
AK,2020,10,Pediatric,Confirmed,hospital,676
AK,2020,10,Pediatric,Confirmed,patients,2
AK,2020,10,Pediatric,Suspected,hospital,696
AK,2020,10,Pediatric,Suspected,patients,7
AK,2020,11,Adult,Confirmed,hospital,697
AK,2020,11,Adult,Confirmed,patients,507
AK,2020,11,Adult,Suspected,hospital,697
AK,2020,11,Adult,Suspected,patients,160
AK,2020,11,Pediatric,Confirmed,hospital,697
AK,2020,11,Pediatric,Confirmed,patients,15
AK,2020,11,Pediatric,Suspected,hospital,697
AK,2020,11,Pediatric,Suspected,patients,24
AK,2020,12,Adult,Confirmed,hospital,727
AK,2020,12,Adult,Confirmed,patients,409
AK,2020,12,Adult,Suspected,hospital,727
AK,2020,12,Adult,Suspected,patients,89
AK,2020,12,Pediatric,Confirmed,hospital,727
AK,2020,12,Pediatric,Confirmed,patients,7
AK,2020,12,Pediatric,Suspected,hospital,727
AK,2020,12,Pediatric,Suspected,patients,8
AK,2021,1,Adult,Confirmed,hospital,728
AK,2021,1,Adult,Confirmed,patients,203
AK,2021,1,Adult,Suspected,hospital,728
AK,2021,1,Adult,Suspected,patients,47
AK,2021,1,Pediatric,Confirmed,hospital,728
AK,2021,1,Pediatric,Confirmed,patients,8
